Srno,Question,OptionA,OptionB,OptionC,OptionD,answer
181," Which Amazon Virtual Private Cloud (Amazon VPC) feature enables users to 
connect two VPCs together?",Amazon VPC endpoints,"Amazon Elastic Compute Cloud (Amazon EC2) 
ClassicLink",Amazon VPC peering, AWS Direct Connect ," C  A VPC peering connection is a networking connection between two VPCs that 
enables you to route traffic between them using private IPv4 addresses or 
IPv6 addresses. Instances in either VPC can communicate with each other as 
if they are within the same network. You can create a VPC peering 
connection between your own VPCs, or with a VPC in another AWS account. The 
VPCs can be in different regions (also known as an inter-region VPC peering 
connection)."
182, Which serviceג€™s PRIMARY purpose is software version control?,Amazon CodeStar,AWS Command Line Interface (AWS CLI),"Amazon 
Cognito", AWS CodeCommit ," D  AWS CodeCommit is a version control service hosted by Amazon Web Services 
that you can use to privately store and manage assets (such as documents, 
source code, and binary files) in the 
cloud."
183," A company is considering migrating its applications to AWS. The company 
wants to compare the cost of running the workload on-premises to running 
the equivalent workload on the AWS platform.Which tool can be used to perform this comparison?",AWS Simple Monthly Calculator,"AWS Total Cost of Ownership (TCO) 
Calculator",AWS Billing and Cost Management console, Cost Explorer ," B  TCO calculator compare the cost of running your applications in an 
on-premises or colocation environment to 
AWS."
184," Which AWS service provides a secure, fast, and cost-effective way to 
migrate or transport exabyte-scale datasets into AWS?",AWS Batch,AWS Snowball,AWS Migration Hub, AWS Snowmobile ," D  AWS Snowmobile is an exabyte-scale data transfer service that can move 
extremely large amounts of data to AWS in a fast, secure, and 
cost-effective manner.You can transfer up to 100PB per Snowmobile, a 
45-foot long ruggedized shipping container, pulled by a semi-trailer truck. 
Snowmobile makes it easy to move massive volumes of data to the cloud, 
including video libraries, image repositories, or even a complete data 
center migration. All data is encrypted with 256-bit encryption and you can 
manage your encryption keys with AWS Key Management Service (AWS KMS). 
Snowmobile includes GPS tracking, alarm monitoring,24/7 video surveillance 
and an optional escort security vehicle while in 
transit."
185, Which of the following BEST describe the AWS pricing model? (Choose two.),Fixed-term,Pay-as-you-go,Colocation, Planned E. Variable cost , BE  
186," Which load balancer types are available with Elastic Load Balancing (ELB)? 
(Choose two.)",Public load balancers with AWS Application Auto Scaling capabilities,"
F5 Big-IP and Citrix NetScaler load balancers",Classic Load Balancers," 
Cross-zone load balancers with public and private IPs E. Application Load 
Balancers "," CE  Elastic Load Balancing supports the following types of load balancers: 
Application Load Balancers, Network Load Balancers, and Classic Load 
Balancers.Amazon ECS services can use either type of load balancer. 
Application Load Balancers are used to route HTTP/HTTPS (or Layer 7) 
traffic. Network LoadBalancers and Classic Load Balancers are used to route 
TCP (or Layer 4) 
traffic."
187, Why should a company choose AWS instead of a traditional data center?,AWS provides users with full control over the underlying resources.,"
AWS does not require long-term contracts and provides a pay-as-you-go 
model.","AWS offers edge locations in every country, supporting global 
reach.", AWS has no limits on the number of resources that can be created. ," B  AWS offers you a pay-as-you-go approach for pricing for over 160 cloud 
services. With AWS you pay only for the individual services you need, for 
as long as you use them, and without requiring long-term contracts or 
complex licensing. AWS pricing is similar to how you pay for utilities like 
water and electricity. You only pay for the services you consume, and once 
you stop using them, there are no additional costs or termination 
fees."
188," Which solution provides the FASTEST application response times to 
frequently accessed data to users in multiple AWS Regions?",AWS CloudTrail across multiple Availability Zones,"Amazon CloudFront 
to edge locations",AWS CloudFormation in multiple regions," A virtual 
private gateway over AWS Direct Connect "," B  You can deliver content and decrease end-user latency of your web 
application using Amazon CloudFront. CloudFront speeds up content delivery 
by leveraging its global network of data centers, known as edge locations, 
to reduce delivery time by caching your content close to your end users. 
CloudFront fetches your content from an origin, such as an Amazon S3 
bucket, an Amazon EC2 instance, an Amazon Elastic Load Balancing load 
balancer or your own web server, when it's not already in an edge location. 
CloudFront can be used to deliver your entire website or application, 
including dynamic, static, streaming, and interactive 
content."
189," Which AWS service provides a self-service portal for on-demand access to 
AWS compliance reports?",AWS Config,AWS Certificate Manager,Amazon Inspector," AWS 
Artifact "," D  AWS Artifact is your go-to, central resource for compliance-related 
information that matters to you. It provides on-demand access to AWSג€™ 
security and compliance reports and select online agreements. Reports 
available in AWS Artifact include our Service Organization Control (SOC) 
reports, Payment CardIndustry (PCI) reports, and certifications from 
accreditation bodies across geographies and compliance verticals that 
validate the implementation and operating effectiveness of AWS security 
controls. Agreements available in AWS Artifact include the Business 
Associate Addendum (BAA) and the Nondisclosure 
Agreement(NDA)."
190," Which of the following services is a MySQL-compatible database that 
automatically grows storage as needed?",Amazon Elastic Compute Cloud (Amazon EC2),"Amazon Relational Database 
Service (Amazon RDS) for MySQL",Amazon Lightsail, Amazon Aurora ," D  Amazon Aurora is a relational database service that combines the speed and 
availability of high-end commercial databases with the simplicity and cost- 
effectiveness of open source databases. The MySQL-compatible edition of 
Aurora delivers up to 5X the throughput of standard MySQL running on the 
same hardware, and enables existing MySQL applications and tools to run 
without requiring modification.Amazon Aurora will automatically grow the 
size of your database volume as your database storage needs grow. Your 
volume will grow in increments of 10 GB up to a maximum of 64 TB. You don't 
need to provision excess storage for your database to handle future 
growth."
191, What exclusive benefit is provided to users with Enterprise Support?,Access to a Technical Project Manager,"Access to a Technical Account 
Manager",Access to a Cloud Support Engineer," Access to a Solutions 
Architect ", B  
192," How can a user protect against AWS service disruptions if a natural 
disaster affects an entire geographic area?","Deploy applications across multiple Availability Zones within an AWS 
Region.","Use a hybrid cloud computing deployment model within the 
geographic area.",Deploy applications across multiple AWS Regions.," 
Store application artifacts using AWS Artifact and replicate them across 
multiple AWS Regions. "," C  An AWS Region is a geographic location where AWS provides multiple, 
physically separated and isolated Availability Zones which are connected 
with low latency, high throughput, and highly redundant 
networking."
193," How does AWS MOST effectively reduce computing costs for a growing 
start-up company?",It provides on-demand resources for peak usage.,"It automates the 
provisioning of individual developer environments.","It automates customer 
relationship management.", It implements a fixed monthly computing budget. ," A  You can continue to optimize your spend and keep your development costs 
low by making sure you revisit your architecture often, to adjust to your 
startup growth.Manage your cost further by leveraging different options 
such as S3 CloudFront for caching & offloading to reduce cost of EC2 
computing, as well as Elastic LoadBalancing which prepares you for massive 
scale, high reliability and uninterrupted growth. Another way to keep costs 
down is to use AWS Identity and AccessManagement solutions (IAM) to manage 
governance of your cost drivers effectively and by the right 
teams."
194," A startup is working on a new application that needs to go to market 
quickly. The application requirements may need to be adjusted in the near 
future.Which of the following is a characteristic of the AWS Cloud that would meet 
this specific need?",Elasticity,Reliability,Performance, Agility ," D  Agile is a time boxed, iterative approach to software delivery that builds 
software incrementally from the start of the project, instead of trying to 
deliver it all at once near the end."
195, Which AWS Support plan provides a full set of AWS Trusted Advisor checks?,Business and Developer Support,Business and Basic Support,"
Enterprise and Developer Support", Enterprise and Business Support , D 
196," Which of the following services have Distributed Denial of Service (DDoS) 
mitigation features? (Choose two.)",AWS WAF,Amazon DynamoDB,Amazon EC2," Amazon CloudFront E. Amazon 
Inspector ", AD  
197," When building a cloud Total Cost of Ownership (TCO) model, which cost 
elements should be considered for workloads running on AWS? (Choose three.)",Compute costs,Facilities costs,Storage costs," Data transfer 
costs E. Network infrastructure costs F. Hardware lifecycle costs ", ACE  
198, What time-savings advantage is offered with the use of Amazon Rekognition?,Amazon Rekognition provides automatic watermarking of images.,"Amazon 
Rekognition provides automatic detection of objects appearing in pictures. ","Amazon Rekognition provides the ability to resize millions of images 
automatically."," Amazon Rekognition uses Amazon Mechanical Turk to allow 
humans to bid on object detection jobs. "," B  Rekognition Image is an image recognition service that detects objects, 
scenes, and faces; extracts text; recognizes celebrities; and identifies 
inappropriate content in images. It also allows you to search and compare 
faces. Rekognition Image is based on the same proven, highly scalable, deep 
learning technology developed by Amazonג€™s computer vision scientists to 
analyze billions of images daily for Prime 
Photos."
199," When comparing AWS with on-premises Total Cost of Ownership (TCO), what 
costs are included?",Data center security,Business analysis,Project management," 
Operating system administration "," A  
"
200," Which of the following AWS services can be used to run a self-managed 
database?",Amazon Route 53,AWS X-Ray,AWS Snowmobile," Amazon Elastic 
Compute Cloud (Amazon EC2) "," D  
"
201," Which service should be used to estimate the costs of running a new 
project on AWS?",AWS TCO Calculator,AWS Simple Monthly Calculator,"AWS Cost 
Explorer API", AWS Budgets ," B  To forecast your costs, use the AWS Cost Explorer. Use cost allocation 
tags to divide your resources into groups, and then estimate the costs for 
each 
group."
202," Which AWS tool will identify security groups that grant unrestricted 
Internet access to a limited list of ports?",AWS Organizations,AWS Trusted Advisor,AWS Usage Report," Amazon 
EC2 dashboard ", B 
203," Which AWS service can be used to generate alerts based on an estimated 
monthly bill?",AWS Config,Amazon CloudWatch,AWS X-Ray, AWS CloudTrail ," B  You can monitor your estimated AWS charges by using Amazon CloudWatch. 
When you enable the monitoring of estimated charges for your AWS account, 
the estimated charges are calculated and sent several times daily to 
CloudWatch as metric data.Billing metric data is stored in the US East (N. 
Virginia) Region and represents worldwide charges. This data includes the 
estimated charges for every service inAWS that you use, in addition to the 
estimated overall total of your AWS 
charges."
204," Which Amazon EC2 pricing model offers the MOST significant discount when 
compared to On-Demand Instances?",Partial Upfront Reserved Instances for a 1-year term,"All Upfront 
Reserved Instances for a 1-year term","All Upfront Reserved Instances for 
a 3-year term", No Upfront Reserved Instances for a 3-year term , C  
205, Which of the following is the responsibility of AWS?,Setting up AWS Identity and Access Management (IAM) users and groups,"
Physically destroying storage media at end of life","Patching guest 
operating systems", Configuring security settings on Amazon EC2 instances ," B  Media storage devices used to store customer data are classified by AWS as 
Critical and treated accordingly, as high impact, throughout their 
life-cycles. AWS has exacting standards on how to install, service, and 
eventually destroy the devices when they are no longer useful. When a 
storage device has reached the end of its useful life, AWS decommissions 
media using techniques detailed in NIST 800-88. Media that stored customer 
data is not removed from AWS control until it has been securely 
decommissioned."
206, Which of the following is an advantage of using AWS?,AWS audits user data.,Data is automatically secure.,"There is no 
guessing on capacity needs.", AWS manages compliance needs. ," C  AWS manages dozens of compliance programs in its infrastructure. This 
means that segments of your compliance have already been 
completed."
207," Which AWS service would a customer use with a static website to achieve 
lower latency and high transfer speeds?",AWS Lambda,Amazon DynamoDB Accelerator,Amazon Route 53," Amazon 
CloudFront "," D  Amazon CloudFront is a fast content delivery network (CDN) service that 
securely delivers data, videos, applications, and APIs to customers 
globally with low latency, high transfer speeds, all within a 
developer-friendly environment. CloudFront is integrated with AWS ג€"" both 
physical locations that are directly connected to the AWS global 
infrastructure, as well as other AWS 
services."
208," Which services manage and automate application deployments on AWS? (Choose 
two.)",AWS Elastic Beanstalk,AWS CodeCommit,AWS Data Pipeline," AWS 
CloudFormation E. AWS Config "," AD  
"
209," A user wants guidance on possible savings when migrating from on-premises 
to AWS.Which tool is suitable for this scenario?",AWS Budgets,Cost Explorer,"AWS Total Cost of Ownership (TCO) 
Calculator", AWS Well-Architected Tool ," C  The TCO Calculator provides directional guidance on possible realized 
savings when deploying AWS. This tool is built on an underlying calculation 
model, that generates a fair assessment of value that a customer may 
achieve given the data provided by the 
user."
210," According to the AWS shared responsibility model, what is AWS responsible 
for?",Configuring Amazon VPC,Managing application code,"Maintaining 
application traffic", Managing the network infrastructure ," D  
"
211," What tasks should a customer perform when that customer suspects an AWS 
account has been compromised? (Choose two.)",Rotate passwords and access keys.,Remove MFA tokens.,"Move 
resources to a different AWS Region."," Delete AWS CloudTrail Resources. E. 
Contact AWS Support. "," AE  
"
212, What is an example of high availability in the AWS Cloud?,Consulting AWS technical support at any time day or night,"Ensuring 
an application remains accessible, even if a resource fails","Making any 
AWS service available for use by paying on demand"," Deploying in any part 
of the world using AWS Regions "," B  
"
213," Which AWS security service protects applications from distributed denial 
of service attacks with always-on detection and automatic inline 
mitigations?",Amazon Inspector,AWS Web Application Firewall (AWS WAF),"Elastic 
Load Balancing (ELB)", AWS Shield ," D  AWS Shield is a managed Distributed Denial of Service (DDoS) protection 
service that safeguards applications running on AWS. AWS Shield provides 
always-on detection and automatic inline mitigations that minimize 
application downtime and latency, so there is no need to engage AWS Support 
to benefit from DDoS protection. There are two tiers of AWS Shield - 
Standard and Advanced."
214, A company wants to monitor the CPU usage of its Amazon EC2 resources.Which AWS service should the company use?,AWS CloudTrail,Amazon CloudWatch,AWS Cost and Usage report," 
Amazon Simple Notification Service (Amazon SNS) "," B  With Basic monitoring you get data on your cloudwatch metrics every 5 
minutes. Enabling detailed monitoring, you will get the data every one 
minute.To check if detailed monitoring is enabled, on your EC2 Console, 
Select the instance, on the lower plane, Select 
Monitoring."
215, What is an AWS Identity and Access Management (IAM) role?,A user associated with an AWS resource,"A group associated with an 
AWS resource","An entity that defines a set of permissions for use with an 
AWS resource"," An authentication credential associated with a multi-factor 
authentication (MFA) token "," C  AWS Identity and Access Management (IAM) enables you to manage access to 
AWS services and resources securely. Using IAM, you can create and 
manageAWS users and groups, and use permissions to allow and deny their 
access to AWS resources."
216, What are the advantages of Reserved Instances? (Choose two.),They provide a discount over on-demand pricing.,"They provide access 
to additional instance types.","They provide additional networking 
capability."," Customers can upgrade instances as new types become 
available. E. Customers can reserve capacity in an Availability Zone. "," AE  
"
217," How do Amazon EC2 Auto Scaling groups help achieve high availability for a 
web application?","They automatically add more instances across multiple AWS Regions based 
on global demand of the application.","They automatically add or replace 
instances across multiple Availability Zones when the application needs it. ","They enable the application's static content to reside closer to end 
users."," They are able to distribute incoming requests across a tier of 
web server instances. "," B  When the unhealthy Availability Zone returns to a healthy state, Auto 
Scaling automatically redistributes the application instances evenly across 
all of the designated Availability 
Zones."
218, How can one AWS account use Reserved Instances from another AWS account?,By using Amazon EC2 Dedicated Instances,"By using AWS Organizations 
consolidated billing",By using the AWS Cost Explorer tool," By using AWS 
Budgets "," B  The account that originally purchased the Reserved Instance receives the 
discount first. If the purchasing account doesn't have any instances that 
match the terms of the Reserved Instance, the discount for the Reserved 
Instance is assigned to any matching usage on another account in the 
organization."
219," A customer runs an On-Demand Amazon Linux EC2 instance for 3 hours, 5 
minutes, and 6 seconds.For how much time will the customer be billed?","3 hours, 5 minutes","3 hours, 5 minutes, and 6 seconds","3 hours, 6 
minutes", 4 hours ," B  
"
220," Which principles are used to architect applications for reliability on the 
AWS Cloud? (Choose two.)",Design for automated failure recovery,"Use multiple Availability 
Zones",Manage changes via documented processes," Test for moderate 
demand to ensure reliability E. Backup recovery to an on-premises 
environment "," AB  
"
221," Which AWS service enables users to deploy infrastructure as code by 
automating the process of provisioning resources?",Amazon GameLift,AWS CloudFormation,AWS Data Pipeline, AWS Glue ," B  AWS CloudFormation provides a common language for you to model and 
provision AWS and third party application resources in your cloud 
environment. AWSCloudFormation allows you to use programming languages or a 
simple text file to model and provision, in an automated and secure manner, 
all the resources needed for your applications across all regions and 
accounts. This gives you a single source of truth for your AWS and third 
party resources."
222," Which AWS services provide a way to extend an on-premises architecture to 
the AWS Cloud? (Choose two.)",Amazon EBS,AWS Direct Connect,Amazon CloudFront," AWS Storage 
Gateway E. Amazon Connect ", BD  
223," Which of the following allows users to provision a dedicated network 
connection from their internal network to AWS?",AWS CloudHSM,AWS Direct Connect,AWS VPN, Amazon Connect ," B  AWS Direct Connect lets you establish a dedicated network connection 
between your network and one of the AWS Direct Connect locations. Using 
industry standard 802.1q VLANs, this dedicated connection can be 
partitioned into multiple virtual interfaces. This allows you to use the 
same connection to access public resources such as objects stored in Amazon 
S3 using public IP address space, and private resources such as Amazon EC2 
instances running within an AmazonVirtual Private Cloud (VPC) using private 
IP space, while maintaining network separation between the public and 
private environments. Virtual interfaces can be reconfigured at any time to 
meet your changing needs."
224, Which services use AWS edge locations? (Choose two.),Amazon CloudFront,AWS Shield,Amazon EC2," Amazon RDS E. Amazon 
ElastiCache "," AB  
"
225," Which service would provide network connectivity in a hybrid architecture 
that includes the AWS Cloud?",Amazon VPC,AWS Direct Connect,AWS Directory Service," Amazon API 
Gateway "," B  Amazon Virtual Private Cloud (Amazon VPC) is a logically isolated, private 
section of the AWS Cloud to launch resources in a virtual data center in 
the cloud.Amazon VPC allows you to leverage multiple Availability Zones 
(AZ) within a region so that you can build greater fault tolerance within 
your workloads. You have complete 
control."
226," Which tool can be used to compare the costs of running a web application 
in a traditional hosting environment to running it on AWS?",AWS Cost Explorer,AWS Budgets,AWS Cost and Usage report," AWS 
Total Cost of Ownership (TCO) Calculator ", D  
227," What is the value of using third-party software from AWS Marketplace 
instead of installing third-party software on Amazon EC2? (Choose two.)",Users pay for software by the hour or month depending on licensing.,"
AWS Marketplace enables the user to launch applications with 1-Click.","
AWS Marketplace data encryption is managed by a third-party vendor."," AWS 
Marketplace eliminates the need to upgrade to newer software versions. E. 
Users can deploy third-party software without testing. ", AB  
228, Which of the following is a cloud architectural design principle?,"Scale up, not out.",Loosely couple components.,"Build monolithic 
systems.", Use commercial database software. ," B  Loosely coupled architectures reduce interdependencies, so that a change 
or failure in a component does not cascade to other 
components."
229," Under the shared responsibility model; which of the following areas are 
the customer's responsibility? (Choose two.)",Firmware upgrades of network infrastructure,"Patching of operating 
systems",Patching of the underlying hypervisor," Physical security of 
data centers E. Configuration of the security group ", BE  
230," Which of the following AWS services provide compute resources? (Choose 
two.)",AWS Lambda,Amazon Elastic Container Service (Amazon ECS),"AWS 
CodeDeploy", Amazon Glacier E. AWS Organizations ," AB  
"
231," Which AWS service identifies security groups that allow unrestricted 
access to a userג€™s AWS resources?",AWS CloudTrail,AWS Trusted Advisor,Amazon CloudWatch," Amazon 
Inspector ", B 
232," According to the AWS shared responsibility model, who is responsible for 
configuration management?",It is solely the responsibility of the customer.,"It is solely the 
responsibility of AWS.",It is shared between AWS and the customer.," It 
is not part of the AWS shared responsibility model. "," C  AWS maintains the configuration of its infrastructure devices, but a 
customer is responsible for configuring their own guest operating systems, 
databases, and 
applications."
233," Which AWS service is a content delivery network that securely delivers 
data, video, and applications to users globally with low latency and high 
speeds?",AWS CloudFormation,AWS Direct Connect,Amazon CloudFront," Amazon 
Pinpoint "," C  Amazon CloudFront is a fast content delivery network (CDN) service that 
securely delivers data, videos, applications, and APIs to customers 
globally with low latency, high transfer speeds, all within a 
developer-friendly environment. CloudFront is integrated with AWS ג€"" both 
physical locations that are directly connected to the AWS global 
infrastructure, as well as other AWS 
services."
234," Which benefit of the AWS Cloud supports matching the supply of resources 
with changing workload demands?",Security,Reliability,Elasticity, High availability , C  
235," A user is running an application on AWS and notices that one or more 
AWS-owned IP addresses is involved in a distributed denial-of-service 
(DDoS) attack.Who should the user contact FIRST about this situation?",AWS Premium Support,AWS Technical Account Manager,"AWS Solutions 
Architect", AWS Abuse team ," D  
"
236," Which of the following are benefits of hosting infrastructure in the AWS 
Cloud? (Choose two.)",There are no upfront commitments.,"AWS manages all security in the 
cloud.",#VALUE!," Users 
have access to free and unlimited storage. E. Users have control over the 
physical infrastructure. ", AC 
237, Access keys in AWS Identity and Access Management (IAM) are used to:,log in to the AWS Management Console.,"make programmatic calls to AWS 
from AWS APIs.",log in to Amazon EC2 instances.," authenticate to AWS 
CodeCommit repositories. "," B  
"
238, What is AWS Trusted Advisor?,"It is an AWS staff member who provides recommendations and best 
practices on how to use AWS.","It is a network of AWS partners who provide 
recommendations and best practices on how to use AWS.","It is an online 
tool with a set of automated checks that provides recommendations on cost 
optimization, performance, and security."," It is another name for AWS 
Technical Account Managers who provide recommendations on cost 
optimization, performance, and security. "," C  AWS Trusted Advisor is an online tool that provides you real time guidance 
to help you provision your resources following AWS best practices.Whether 
establishing new workflows, developing applications, or as part of ongoing 
improvement, take advantage of the recommendations provided by 
TrustedAdvisor on a regular basis to help keep your solutions provisioned 
optimally."
239," Which AWS service or feature allows a company to visualize, understand, 
and manage AWS costs and usage over time?",AWS Budgets,AWS Cost Explorer,AWS Organizations," Consolidated 
billing "," B  AWS Cost Explorer has an easy-to-use interface that lets you visualize, 
understand, and manage your AWS costs and usage over 
time."
240," Which service enables customers to audit and monitor changes in AWS 
resources?",AWS Trusted Advisor,Amazon GuardDuty,Amazon Inspector," AWS 
Config "," D  AWS Config is a service that enables you to assess, audit, and evaluate 
the configurations of your AWS resources. Config continuously monitors and 
records yourAWS resource configurations and allows you to automate the 
evaluation of recorded configurations against desired configurations. With 
Config, you can review changes in configurations and relationships between 
AWS resources, dive into detailed resource configuration histories, and 
determine your overall compliance against the configurations specified in 
your internal guidelines. This enables you to simplify compliance auditing, 
security analysis, change management, and operational 
troubleshooting."
241," What are the benefits of using the AWS Cloud for companies with customers 
in many countries around the world? (Choose two.)","Companies can deploy applications in multiple AWS Regions to reduce 
latency.","Amazon Translate automatically translates third-party website 
interfaces into multiple languages.","Amazon CloudFront has multiple edge 
locations around the world to reduce latency."," Amazon Comprehend allows 
users to build applications that can respond to user requests in many 
languages. E. Elastic Load Balancing can distribute application web traffic 
to multiple AWS Regions around the world, which reduces latency. "," AC  
"
242," Which AWS service handles the deployment details of capacity provisioning, 
load balancing, Auto Scaling, and application health monitoring?",AWS Config,AWS Elastic Beanstalk,Amazon Route 53," Amazon 
CloudFront "," B  Explanation -Upload your code and Elastic Beanstalk automatically handles 
the deployment, from capacity provisioning, load balancing, auto-scaling to 
application health monitoring. At the same time, you retain full control 
over the AWS resources powering your application and can access the 
underlying resources at any 
time."
243," Which AWS service provides inbound and outbound network ACLs to harden 
external connectivity to Amazon EC2?",AWS IAM,Amazon Connect,Amazon VPC, Amazon API Gateway ," C  
"
244," When a company provisions web servers in multiple AWS Regions, what is 
being increased?",Coupling,Availability,Security, Durability ," B  
"
245, The pay-as-you-go pricing model for AWS services:,reduces capital expenditures.,"requires payment up front for AWS 
services.","is relevant only for Amazon EC2, Amazon S3, and Amazon RDS."," 
reduces operational expenditures. "," A  
"
246," Under the AWS shared responsibility model, AWS is responsible for which 
security-related task?",Lifecycle management of IAM credentials,"Physical security of global 
infrastructure",Encryption of Amazon EBS volumes," Firewall 
configuration "," B  
"
247," Which AWS service enables users to consolidate billing across multiple 
accounts?",Amazon QuickSight,AWS Organizations,AWS Budgets," Amazon 
Forecast "," B  You can use the consolidated billing feature in AWS Organizations to 
consolidate billing and payment for multiple AWS accounts or multiple 
Amazon InternetServices Pvt. Ltd (AISPL) accounts. Every organization in 
AWS Organizations has a master (payer) account that pays the charges of all 
the member (linked) 
accounts."
248," Under the AWS shared responsibility model, which of the following is an 
example of security in the AWS Cloud?",Managing edge locations,Physical security,Firewall configuration , Global infrastructure , B  
249," How can an AWS user with an AWS Basic Support plan obtain technical 
assistance from AWS?",AWS Senior Support Engineers,AWS Technical Account Managers,"AWS 
Trusted Advisor", AWS Discussion Forums , D  
250," Which AWS service offers on-demand access to AWS security and compliance 
reports?",AWS CloudTrail,AWS Artifact,AWS Health, Amazon CloudWatch ," B  AWS Artifact is your go-to, central resource for compliance-related 
information that matters to you. It provides on-demand access to AWSג€™ 
security and compliance reports and select online agreements. Reports 
available in AWS Artifact include our Service Organization Control (SOC) 
reports, Payment CardIndustry (PCI) reports, and certifications from 
accreditation bodies across geographies and compliance verticals that 
validate the implementation and operating effectiveness of AWS security 
controls. Agreements available in AWS Artifact include the Business 
Associate Addendum (BAA) and the Nondisclosure 
Agreement(NDA)."
251," After selecting an Amazon EC2 Dedicated Host reservation, which pricing 
option would provide the largest discount?",No upfront payment,Hourly on-demand payment,"Partial upfront 
payment", All upfront payment , D  
252," What is an advantage of deploying an application across multiple 
Availability Zones?","There is a lower risk of service failure if a natural disaster causes a 
service disruption in a given AWS Region.","The application will have 
higher availability because it can withstand a service disruption in one 
Availability Zone.","There will be better coverage as Availability Zones 
are geographically distant and can serve a wider area."," There will be 
decreased application latency that will improve the user experience. "," B  
"
253," A Cloud Practitioner is asked how to estimate the cost of using a new 
application on AWS.What is the MOST appropriate response?",Inform the user that AWS pricing allows for on-demand pricing.,"
Direct the user to the AWS Simple Monthly Calculator for an estimate.","
Use Amazon QuickSight to analyze current spending on-premises."," Use 
Amazon AppStream 2.0 for real-time pricing analytics. "," B  
"
254," A company wants to migrate its applications to a VPC on AWS. These 
applications will need to access on-premises resources.What combination of actions will enable the company to accomplish this 
goal? (Choose two.)","Use the AWS Service Catalog to identify a list of on-premises resources 
that can be migrated.","Build a VPN connection between an on-premises 
device and a virtual private gateway in the new V",#VALUE!," Connect the 
companyג€™s on-premises data center to AWS using AWS Direct Connect. E. 
Leverage Amazon CloudFront to restrict access to static web content 
provided through the companyג€™s on-premises web servers. "," BD  
"
255," A web application running on AWS has been spammed with malicious requests 
from a recurring set of IP addresses.Which AWS service can help secure the application and block the malicious 
traffic?",AWS IAM,Amazon GuardDuty,"Amazon Simple Notification Service 
(Amazon SNS)", AWS WAF ," D  Explanation -AWS WAF is a web application firewall that helps protect web 
applications from common web exploits that could affect application 
availability, compromise security, or consume excessive resources. You can 
use AWS WAF to define customizable web security rules that control which 
traffic accesses your web applications. If you use AWS Shield Advanced, you 
can use AWS WAF at no extra cost for those protected resources and can 
engage the DRT to create WAF 
rules."
256, Treating infrastructure as code in the AWS Cloud allows users to:,automate migration of on-premises hardware to AWS data centers.,"let 
a third party automate an audit of the AWS infrastructure.","turn over 
application code to AWS so it can run on the AWS infrastructure."," 
automate the infrastructure provisioning process. ", D  
257," A company requires a dedicated network connection between its on-premises 
servers and the AWS Cloud.Which AWS service should be used?",AWS VPN,AWS Direct Connect,Amazon API Gateway, Amazon Connect ," B  Explanation -You can use AWS Direct Connect to establish a private virtual 
interface from your on-premise network directly to your Amazon VPC, 
providing you with a private, high bandwidth network connection between 
your network and your VPC. With multiple virtual interfaces, you can even 
establish private connectivity to multipleVPCs while maintaining network 
isolation."
258," Which AWS service can be used to query stored datasets directly from 
Amazon S3 using standard SQL?",AWS Glue,AWS Data Pipeline,Amazon CloudSearch, Amazon Athena ," D  Amazon Athena is defined as ג€an interactive query service that makes it 
easy to analyse data directly in Amazon Simple Storage Service (Amazon S3) 
using standard SQL.ג€ So, itג€™s another SQL query engine for large data 
sets stored in S3. This is very similar to other SQL query engines, such as 
Apache Drill. But unlikeApache Drill, Athena is limited to data only from 
Amazonג€™s own S3 storage service. However, Athena is able to query a 
variety of file formats, including, but not limited to CSV, Parquet, JSON, 
etc. "
259, AWS CloudFormation is designed to help the user:,model and provision resources.,update application code.,"set up 
data lakes.", create reports for billing. ," A  Explanation -AWS CloudFormation provides a common language for you to 
model and provision AWS and third party application resources in your cloud 
environment. AWSCloudFormation allows you to use programming languages or a 
simple text file to model and provision, in an automated and secure manner, 
all the resources needed for your applications across all regions and 
accounts. This gives you a single source of truth for your AWS and third 
party resources."
260," Which of the following are pillars of the AWS Well-Architected Framework? 
(Choose two.)",Multiple Availability Zones,Performance efficiency,Security," 
Encryption usage E. High availability "," BC  
"
261," A Cloud Practitioner must determine if any security groups in an AWS 
account have been provisioned to allow unrestricted access for specific 
ports.What is the SIMPLEST way to do this?","Review the inbound rules for each security group in the Amazon EC2 
management console to check for port 0.0.0.0/0.","Run AWS Trusted Advisor 
and review the findings.","Open the AWS IAM console and check the inbound 
rule filters for open access."," In AWS Config, create a custom rule that 
invokes an AWS Lambda function to review rules for inbound access. "," B  
"
262," What are the benefits of developing and running a new application in the 
AWS Cloud compared to on-premises? (Choose two.)",AWS automatically distributes the data globally for higher durability. ,AWS will take care of operating the application.,"AWS makes it easy to 
architect for high availability."," AWS can easily accommodate application 
demand changes. E. AWS takes care application security patching. ", CD 
263," A user needs an automated security assessment report that will identify 
unintended network access to Amazon EC2 instances and vulnerabilities on 
those instances.Which AWS service will provide this assessment report?",EC2 security groups,AWS Config,Amazon Macie, Amazon Inspector ," D  Amazon Inspector is an automated security assessment service that helps 
improve the security and compliance of applications deployed on AWS. 
AmazonInspector automatically assesses applications for exposure, 
vulnerabilities, and deviations from best practices. After performing an 
assessment, Amazon Inspector produces a detailed list of security findings 
prioritized by level of severity. These findings can be reviewed directly 
or as part of detailed assessment reports which are available via the 
Amazon Inspector console or API."
