Srno,Question,OptionA,OptionB,OptionC,OptionD,Answer
166," A company wants to migrate a three-tier web application to AWS. The 
company wants to control the placement of the instances and have visibility 
into underlying sockets and cores for licensing purposes.Which compute model should a Solutions Architect choose to accomplish this 
task?",EC2 Reserved Instances,EC2 Spot Instances,EC2 Dedicated Hosts," 
EC2 Placement Groups ", A c
167," An application runs on multiple Amazon EC2 instances. Each running 
instance of the application must have access to a shared file system.Where should the data be stored?",Amazon S3,Amazon DynamoDB,Amazon EFS, Amazon EBS , An 
168," A Solutions Architect is designing a microservice to process records from 
Amazon Kinesis Streams. The metadata must be stored in Amazon DynamoDB. The 
microservice must be capable of concurrently processing 10,000 records 
daily as they arrive in the Kinesis stream.The MOST scalable way to design the microservice is:",As an AWS Lambda function.,As a process on an Amazon EC2 instance. ,As a Docker container running on Amazon ECS.," As a Docker container on 
an EC2 instance. ", A So
169," A university is running an internal web application on AWS that students 
can access from the university network to check their exam results. The web 
application runs on Amazon EC2 instances and pulls results from an Amazon 
DynamoDB table. Auto Scaling is currently configured to add a new web 
server when CPU is greater than 80% for 5 minutes. DynamoDB is configured 
to increase both read and write capacity units by five when utilization is 
greater than 80%. Exam results are released at 9:00 a.m. each Monday, and 
80% of students, attempt to access their unique result within the first 30 
minutes. Despite Auto Scaling being enabled, students are complaining of 
slow response times and errors when they view the site. There are no 
performance complaints after 9:30 a.m. on Monday.Which recommendation should a Solutions Architect make to improve 
performance in a cost-effective manner?","Scale out the EC2 instances to ensure that the environment scales up 
and down based on the highest load.","Implement Amazon DynamoDB 
Accelerator to improve database performance and remove the need to scale 
the read/write units.",#VALUE!," Use Amazon CloudFront 
to cache web request and reduce the load on EC2 and DynamoDB. ", D 
170," A web application running on Amazon EC2 instances writes data 
synchronously to an Amazon DynamoDB table configured for 60 write capacity 
units. During normal operation the application writes 50 KB/s to the tale, 
but can scale up to 500 KB/ s during peak hours. The application is 
currently throttling errors from theDynamoDB table during peak hours.What is the MOST cost-efficient change to support the increased traffic 
with minimal changes to the application?",Use Amazon SQS to manage the write operations to the DynamoDB table.,"
Change DynamoDB table configuration to 600 write capacity units.","
Increase the number of Amazon EC2 instances to support the traffic."," 
Configure Amazon DynamoDB Auto Scaling to handle the extra demand. ", D 
171," A company needs to capture all client connection information from its 
Application Load Balancer every five minutes. This data will be used to 
analyze traffic patterns and troubleshoot the application.How can a Solutions Architect meet this requirement?",Enable AWS CloudTrail for the Application Load Balancer.,"Enable 
Access Logs on the Application Load Balancer.","Install CloudWatch Agent 
on the Application Load Balancer."," Enable CloudWatch metrics on the 
Application Load Balancer. ", B 
172," An application runs on EC2 instances behind an Elastic Load Balancing 
Application Load Balancer. The instances run in an EC2 Auto Scaling group 
across multiple Availability Zones. The application provides a RESTful 
interface with both synchronous and asynchronous operations. The 
asynchronous operations require up to 5 minutes to complete. Although the 
application must remain available at all times, after business hours, the 
traffic going to the application is greatly reduced and often results in 
the Auto Scaling group running the minimum number of On-Demand Instances.What should the Solutions Architect recommend to optimize the cost of the 
environment after business hours?","Change the Availability Zones in which the instances were created to 
another Availability Zone in the same region with a lower cost.","Replace 
all On-Demand Instances with Spot Instances in the Auto Scaling group.","
Purchase Reserved Instances for the minimum number of Auto Scaling 
instances."," Reduce the number of minimum instances to 0. New requests to 
the Application Load Balancer create new instances. ", B 
173," A Solutions Architect is designing a web application for document sharing. 
The users will upload documents that are then made available to other 
users. There will be tens of thousands of these documents.What is the MOST cost-effective storage solution?",Amazon EFS,Amazon S3,Amazon Glacier, Amazon EBS , A S
174," A Solutions Architect was tasked with reviewing several templates that 
build VPCs and ensuring that they meet specific security requirements. 
After reviewing the templates, the Architect realizes that all of the 
templates are missing important security best practices.What should the Architect do to implement security best practices in an 
efficient manner?",Use VPC peering to enforce network consistency,"Restrict users from 
deploying an AWS CloudFormation template","Provide the teams a nested AWS 
CloudFormation template that builds the VPC correctly"," Create AWS 
Identity and Access Management (IAM) policies that enforce the corporate 
VPC architecture standards ", D 
175," A Solutions Architect has been given the following requirements for a 
company's VPC:✑ The solution is a two-tiered application with a web tier and a database 
tier.✑ All web traffic to the environment must be directed from the Internet to 
an Application Load Balancer.✑ The web servers and the databases should not obtain public IP addresses 
or be directly accessible from the public Internet.✑ Because of security requirements, databases may not share a route table 
or subnet with any other service.✑ The environment must be highly available within the same VPC for all 
services.What is the minimum number of subnets that the Solutions Architect will 
need based on these requirements and best practices?",2,3,4,6, B 
176," An application currently stores objects in Amazon S3-Standard. The 
application accesses new objects frequently for one week. After one week, 
they are accessed occasionally for analysis batch jobs. A Solutions 
Architect has been asked to reduce storage costs for the application while 
allowing immediate access for batch jobs.How can costs be reduced without reducing data durability?","Create a lifecycle policy that moves Amazon S3 data to Amazon S3 One 
Zone-Infrequent Access storage after 7 days. After 30 days, move the data 
to Amazon Glacier.","Keep the data on Amazon S3, and create a lifecycle 
policy to move S3 data to Amazon Glacier after 7 days.","Move all Amazon 
S3 data to S3 Standard-Infrequent Access storage, and create a lifecycle 
policy to move the data to Amazon Glacier after 7 days."," Keep the data on 
Amazon S3, then create a lifecycle policy to move the data to S3 
Standard-Infrequent Access storage after 7 days. ", An 
177," A company is building a critical ingestion service on AWS that will 
receive 1,000 incoming events per second. The events must be processed in 
order, and no events may be lost. Multiple applications will need to 
process each event. The company will expose the service as RESTful calls 
through an API Gateway.What should a Solutions Architect use to receive the events based on these 
requirements?",Amazon Kinesis Data Stream,Amazon DynamoDB,Amazon SQS," Amazon 
SNS ", A 
178," An AWS Lambda function requires access to an Amazon RDS for SQL Server 
instance. It is against company policy to store passwords in Lambda 
functions.How can a Solutions Architect enable the Lambda function to retrieve the 
database password without violating company policy?",Add an IAM policy for IAM database access to the Lambda execution role. ,Store a one-way hash of the password in the Lambda function.,"Have the 
Lambda function use the AWS Systems Manager Parameter Store."," Connect to 
the Amazon RDS for SQL Server instance by using a role assigned to the 
Lambda function. ", C 
179," A company has two different types of reporting needs on their 200-GB data 
warehouse:✑ Data scientists run a small number of concurrent ad hoc SQL queries that 
can take several minutes each to run.✑ Display screens throughout the company run many fast SQL queries to 
populate dashboards.Which design would meet these requirements with the LEAST cost?",Replicate relevant data between Amazon Redshift and Amazon Dynamo,"
Data scientists use Redshift. Dashboards use DynamoDB. B. Configure 
auto-replication between Amazon Redshift and Amazon RDS. Data scientists 
use Redshift. Dashboards use RDS.","Use Amazon Redshift for both 
requirements, with separate query queues configured in workload management. "," Use Amazon Redshift for Data Scientists. Run automated dashboard queries 
against Redshift and store the results in Amazon ElastiCache. Dashboards 
query ElastiCache. ", D 
180," As part of a migration strategy, a Solutions Architect needs to analyze 
workloads that can be optimized for performance and cost. The Solutions 
Architect has identified a stateless application that serves static content 
as a potential candidate to move to the cloud. The Solutions Architect has 
the flexibility to choose an identity solution between Facebook, Twitter, 
and Amazon.Which AWS solution offers flexibility and ease of use, and the LEAST 
operational overhead for this migration?","Use AWS Identity and Access Management (IAM) for managing identities, 
and migrate the application to run on Amazon S3, Amazon API Gateway, and 
AWS Lambda.","Use a third-party solution for managing identities, and 
migrate the application to run on Amazon S3, EC2 Spot Instances, and Amazon 
EC2.","Use Amazon Cognito for managing identities, and migrate the 
application to run on Amazon S3, Amazon API Gateway, and AWS Lambda."," Use 
Amazon Cognito for managing identities, and migrate the application to run 
on Amazon S3, EC2 Spot Instances, and Amazon EC2. ", A 
181," A company expects its user base to increase five times over one year. Its 
application is hosted in one region and uses an Amazon RDS MySQL database, 
an ELBApplication Load Balancer, and Amazon ECS to host the website and its 
microservices.Which design changes should a Solutions Architect recommend to support the 
expected growth? (Choose two.)",Move static files from ECS to Amazon S3,"Use an Amazon Route 53 
geolocation routing policy","Scale the environment based on real-time AWS 
CloudTrail logs"," Create a dedicated Elastic Load Balancer for each 
microservice E. Create RDS read replicas and change the application to use 
these replicas ", AD 
182," A company is rolling out a new web service, but is unsure how many 
customers the service will attract. However, the company is unwilling to 
accept any downtime.What could a Solutions Architect recommend to the company in order to keep 
track of customers' current session data?",Amazon EC2,Amazon RDS,AWS CloudTrail, Amazon DynamoDB , B 
183," A web application is running on Amazon EC2 instances behind an Elastic 
Load Balancing Application Load Balancer (ALB). The EC2 instances should 
receive no traffic, except for web requests to the application.Based on these requirements, what security group rules should be put on the 
Amazon EC2 instances?","An inbound rule allowing traffic from the security group attached to 
the ALB","An inbound rule allowing traffic from the network ACLs attached 
to the ALB","An outbound rule allowing traffic to the security group 
attached to the ALB"," An outbound rule blocking all traffic to the 
Internet ", A 
184," A Solutions Architect must migrate a monolithic on-premises application to 
AWS. It is a web application with a load balancer, web server, application 
server, and relational database. The key requirement driving the migration 
is that the application should perform better and be more elastic.Which of the following architectures would meet these requirements?","Re-host the application on Amazon EC2 with lift and shift of existing 
application code. Configure an Elastic Load Balancing load balancer to 
handle incoming requests. Use Amazon CloudWatch alarms to receive 
notification of scaling issues. Increase and decrease the size of the 
Amazon EC2 instances using AWS CLI or AWS Management Console as required. ","Re-architect the application as a three-tier application. Move the 
database to Amazon RDS. Use read replicas and Amazon ElastiCache with RDS 
for better performance. Use an Application Load Balancer to forward 
incoming requests to web and application servers running on-premises.",#VALUE!," Re-architect the application as 
Service Oriented Architecture (SOA). Run database and application servers 
on-premises. Run web-facing EC2 servers. Use an Enterprise Service Bus to 
handle communications between different parts of the application running 
on-premises and in the cloud. ", A 
185," A company has asked the Solutions Architect to modify its AWS-hosted 
internal application to allow for load balancing. The customer requests 
always come from the company domain (example.net). The company requires 
that incoming HTTP and HTTPS traffic is routed based on the path element of 
the URL in the request.Which implementation can satisfy all requirements?","Configure a Network Load Balancer with listeners for appropriate path 
patterns for the target groups.","Configure an Application Load Balancer 
with host-based routing based on the domain field in the HTTP header.","
Configure a Network Load Balancer and enable cross-zone load balancing to 
ensure that all EC2 instances are us"," Configure an Application Load 
Balancer with listeners for appropriate path patterns for the target group. ", A c
186," A Solutions Architect is asked to improve the fault tolerance of an 
existing Python application. The web application places 1-MB images is an 
S3 bucket. The application then uses a single t2.large instance to 
transform the image to include a watermark with the company's brand before 
writing the image back to the S3 bucket.What should the Solutions Architect recommend to increase the fault 
tolerance of the solution?","Convert the code to a Lambda function triggered by scheduled Amazon 
CloudWatch Events.","Increase the instance size to m4.xlarge and configure 
Enhanced Networking.","Convert the code to a Lambda function triggered by 
Amazon S3 events."," Create an Amazon SQS queue to send the images to the 
t2.large instance. ", A 
187," A Solutions Architect has been asked to deliver video content stored on 
Amazon S3 to specific users from Amazon CloudFront while restricting access 
by unauthorized users.How can the Architect implement a solution to meet these requirements?",Configure CloudFront to use signed-URLs to access Amazon S3.,"Store 
the videos as private objects in Amazon S3, and let CloudFront serve the 
objects by using only Origin Access Identity (OAI).","Use Amazon S3 static 
website as the origin of CloudFront, and configure CloudFront to deliver 
the videos by generating a signed URL for users."," Use OAI for CloudFront 
to access private S3 objects and select the Restrict Viewer Access option 
in CloudFront cache behavior to use signed URLs. ", A S
188," A Solutions Architect needs to deploy a node.js-based web application that 
is highly available and scales automatically. The Marketing team needs to 
roll back on application releases quickly, and they need to have an 
operational dashboard. The Marketing team does not want to manage 
deployment of OS patches to theLinux servers.Use of which AWS service will satisfy these requirements?",Amazon EC2,Amazon API Gateway,AWS Elastic Beanstalk," Amazon EC2 
Container Service ", A S
189," A company has a website running on Amazon EC2. The application DNS name 
points to an Elastic IP address associated with the EC2 instance. In the 
event of an attack on the website coming from a specific IP address, the 
company wants a way to block the offending IP address.Which tool or service should a Solutions Architect recommend to block the 
IP address?",Security groups,Network ACL,AWS WAF, AWS Shield , C 
190," A company has an application that uses Amazon CloudFront for content that 
is hosted on an Amazon S3 bucket. After an unexpected refresh, the users 
are still seeing old content.Which step should the Solutions Architect take to ensure that new content 
is displayed?","Perform a cache refresh on the CloudFront distribution that is serving 
the content.","Perform an invalidation on the CloudFront distribution that 
is serving the content.","Create a new cache behavior path with the 
updated content.", Change the TTL value for removing the old objects. , A 
191," A web application runs on 10 EC2 instances launched from a single customer 
Amazon Machine Image (AMI). The EC2 instances are behind an InternetApplication Load Balancer. Amazon Route 53 provides DNS for the application.How should a Solutions Architect automate recovery when a web server 
instance stops replying to request?","Launch the instances in an Auto Scaling group with an Elastic Load 
Balancing health check.","Launch instances in multiple Availability Zones 
and set the load balancer to Multi-AZ.","Add CloudWatch alarm actions for 
each instance to restart if the Status Check (Any) fails."," Add Route 53 
records for each instance with an instance health check. ", A 
192," A company has a Node.js application running on Amazon EC2 that currently 
retrieves data for customers from a DynamoDB table. The company is seeing 
many repeat queries for the same items, and the number of queries is 
continuing to increase as the application gains popularity.What solution will reduce the number of read capacity units (RCUs) required 
while minimizing the amount of refactoring that must be done to the 
application?",Use Amazon ElastiCache to provide a caching layer,"Use a Lambda 
function to make concurrent requests for caching","Use Amazon DynamoDB 
Accelerator (DAX) to provide a caching layer"," Obtain Reserved Capacity 
for Amazon DynamoDB to manage the increased number of queries ", D 
193," A company has an application that accesses a MySQL database installed on a 
single EC2 instance. The instance recently experienced a fault and brought 
down the entire application for several hours. The company wants to address 
the issue but is concerned about spending too much time modifying 
application code or managing the legacy application.What should the Solutions Architect recommend to remove this single point 
of failure with the FEWEST changes to the application code and the LEAST 
amount of administrative effort?","Implement a caching layer by using Amazon ElastiCache to store query 
results of frequently accessed information.","Deploy a second EC2 instance 
with MySQL installed, and configure replication between this instance and 
the existing MySQL instance.","Migrate the database to an RDS MySQL 
Multi-AZ DB instance, and point the application servers to the new RDS 
instance."," Create a DynamoDB table to use as a cache layer, and update 
the application to query data from Amazon DynamoDB before querying MySQL. ", A c
194," A team is launching a marketing campaign and the peak database read 
activity in Amazon Aurora for MySQL is expected to increase. A Solutions 
Architect decides to add two Read Replicas to the cluster.How should the Solutions Architect ensure that the connections for read 
activities are load balanced?",Reader endpoint for Amazon Aurora,Cluster endpoint for Amazon Aurora ,Primary DB instance endpoint for Amazon Aurora," Replica DB instances 
endpoint for Aurora ", C 
195," A company plans to migrate a website to AWS to use a serverless 
architecture. The website contains both static and dynamic content and is 
accessed by users across the world. The website should maintain sessions 
for returning users to improve the user experience.Which service should a Solutions Architect use for a cost-efficient 
solution with the LOWEST latency?","Amazon S3, AWS Lambda, Amazon API Gateway, and Amazon DynamoDB","
Amazon CloudFront, AWS Lambda, API Gateway, and Amazon RDS","Amazon 
CloudFront, Elastic Load Balancing, Amazon EC2, and Amazon RDS"," Amazon 
S3, Amazon CloudFront, AWS Lambda, Amazon API Gateway, and Amazon DynamoDB. ", C 
196," A Solutions Architect is helping a customer migrate an application to AWS. 
The application is composed of a fleet of Linux servers that currently use 
a shared file system to read and write data. One of the goals of moving 
this application to AWS is to increase the reliability of the storage tier.What solution would increase reliability while minimizing the operational 
overhead of managing this infrastructure?",Create an EBS volume and mount it to all the servers.,"Create an EFS 
file system and mount it to all the servers.","Create an S3 bucket that 
can be accessed through an S3 VPC Endpoint."," Create two EC2 instances in 
separate Availability Zones that act as file servers. ", B 
197," A Solution Architect is designing a two-tier application for maximum 
security, with a web tier running on EC2 instances and the data stored in 
an RDS DB instance.The web tier should accept user access only through HTTPS connections (port 
443) from the Internet, and the data must be encrypted in transit to and 
from the database.What combination of steps will MOST securely meet the stated requirements? 
(Choose two.)","Create a security group for the web tier instances that allows inbound 
traffic only over port 443.","Enforce Transparent Data Encryption (TDE) on 
the RDS database.","Create a network ACL that allows inbound traffic only 
over port 443."," Configure the web servers to communicate with RDS by 
using SSL, and issue certificates to the web tier EC2 instances. E. Create 
a customer master key in AWS KMS and apply it to encrypt the RDS instance. ", CD 
198," A credit card processing application, hosted on an on-premises server, 
needs to communicate directly with a database hosted on an Amazon EC2 
instance running in a private subnet of a VPC. Compliance requirements 
state that end-to-end communication should be encrypted.Which solution will ensure that this requirement is met?","Use HTTPS for traffic over VPC peering between the VPC and the 
on-premises datacenter.","Use HTTPS for traffic over the Internet between 
the on-premises server and the Amazon EC2 instance.","Use HTTPS for 
traffic over a VPN connection between the VPC and the on-premises 
datacenter."," Use HTTPS for traffic over gateway VPC endpoints that have 
been configured for the Amazon EC2 instance. ", B 
199," A company has asked a Solutions Architect to ensure that data is protected 
during data transfer to and from Amazon S3.Use of which service will protect the data in transit?",AWS KMS,HTTPS,SFTP, FTPS , A c
200," A customer is looking for a storage archival solution for 1,000 TB of 
data. The customer requires that the solution be durable and data be 
available within a few hours of requesting it, but not exceeding a day. The 
solution should be as cost-effective as possible. To meet security 
compliance policies, data must be encrypted at rest. The customer expects 
they will need to fetch the data two times in a year.Which storage solution should a Solutions Architect recommend to meet these 
requirements?","Copy data to Amazon S3 buckets by using server-side encryption. Move 
data to Amazon S3 to reduce redundancy storage (RRS).","Copy data to 
encrypted Amazon EBS volumes, then store data into Amazon S3.","Copy each 
object into a separate Amazon Glacier vault, and let Amazon Glacier take 
care of encryption."," Copy data to Amazon S3 with server-side encryption. 
Configure lifecycle management policies to move data to Amazon Glacier 
after 0 days. ", D 
201," A Solutions Architect has a three-tier web application that serves 
customers worldwide. Analysis reveals that product images take more time to 
load than expected.Which action will improve the image load time?",Store product images on Amazon EBS-optimized storage volumes,"Store 
product images in an Amazon S3 bucket","Use an Amazon CloudFront 
distribution for product images"," Use an Auto Scaling group to add 
instances for product images ", A S
202," A gaming application is heavily dependent on caching and uses Amazon 
ElastiCache for Redis. The application performance was recently degraded 
due to failure of the cache node.What should a Solutions Architect recommend to minimize performance 
degradation in the future?",Migrate from ElastiCache to Amazon RDS,"Configure automatic backup to 
save cache data",Configure ElastiCache Multi-AZ with automatic failover , Use Auto Scaling to provision cache nodes based on CPU usage , A g
203," A client has set up an Auto Scaling group associated with a load balancer. 
The client has noticed that instances launched by the Auto Scaling group 
are reported unhealthy as the result of an Elastic Load Balancing (ELB) 
health check, but these unhealthy instances are not being terminated.What can a Solutions Architect do to ensure that the instances marked 
unhealthy will be terminated and replaced?","Increase the value for the health check interval set on the ELB load 
balancer.","Change the thresholds set on the Auto Scaling group health 
check.",Change the health check type to ELB for the Auto Scaling group. ," Change the health check set on the ELB load balancer to use TCP rather 
than HTTP checks. ", A c
204," A Solutions Architect must review an application deployed on EC2 instances 
that currently stores multiple 5-GB files on attached instance store 
volumes. The company recently experienced a significant data loss after 
stopping and starting their instances and wants to prevent the data loss 
from happening again. The solution should minimize performance impact and 
the number of code changes required.What should the Solutions Architect recommend?",Store the application data in Amazon S3,"Store the application data 
in an EBS volume",Store the application data in Amazon ElastiCache," 
Store the application data in Amazon DynamoDB ", A S
205," An organization is deploying Amazon ElastiCache for Redis and requires 
password protection to improve their data security posture.Which solution should a Solutions Architect recommend?",Redis Auth,AWS Single Sign-On,IAM database authentication," VPC 
security group for Redis ", An 
206," A Solutions Architect is designing a solution to send Amazon CloudWatch 
Alarm notifications to a group of users on a smartphone mobile application.What are the key steps to this solution? (Choose two.)","Configure the CloudWatch Alarm to send the notification to an Amazon 
SNS topic whenever there is an alarm.","Configure the CloudWatch Alarm to 
send the notification to a mobile phone number whenever there is an alarm. ","Configure the CloudWatch Alarm to send the notification to the email 
addresses whenever there is an alarm."," Create the platform endpoints for 
mobile devices and subscribe the SNS topic with platform endpoints. E. 
Subscribe the SNS topic with an Amazon SQS queue, and poll the messages 
continuously from the queue. Use each mobile platform's libraries to send 
the message to the mobile application. ", A So
207," A company uses Amazon S3 for storing a variety of files. A Solutions 
Architect needs to design a feature that will allow users to instantly 
restore any deleted files within 30 days of deletion.Which is the MOST cost-efficient solution?","Create lifecycle policies that move the objects to Amazon Glacier and 
delete them after 30 days.","Enable cross-region replication. Empty the 
replica bucket every 30 days using an AWS Lambda function.","Enable 
versioning and create a lifecycle policy to remove expired versions after 
30 days."," Enable versioning and MFA Delete. Using a Lambda function, 
remove MFA delete from objects more than 30 days old. ", A c
208," An application running on Amazon EC2 has been experiencing performance 
issues when accessing an Amazon RDS for Oracle database. The database has 
been provisioned correctly for average workloads, but there are several 
usage spikes each day that have saturated the database, causing the 
application to time out. The application is write-heavy, updating 
information more often than reading information. A Solutions Architect has 
been asked to review the application design.What should the Solutions Architect recommend to improve performance?","Put an Amazon ElastiCache cluster in front of the database and use lazy 
loading to limit database access during peak periods.","Put an Amazon 
Elasticsearch domain in front of the database and use a Write-Through cache 
to reduce database access during peak periods.","Configure an Amazon RDS 
Auto Scaling group to automatically scale the RDS instance during load 
spikes."," Change the Amazon RDS instance storage type from General Purpose 
SSD to provisioned IOPS SSD. ", D 
209," During performance testing of an application, the Amazon RDS database 
caused a performance bottleneck.What steps can be taken to improve the database performance? (Choose two.)",Change the RDS database instance to multiple Availability Zones.,"
Scale up to a larger RDS instance type.","Redirect read queries to RDS 
read replicas."," Scale out using an Auto Scaling group for RDS. E. Use RDS 
in a separate AWS Region. ", BC 
210," A Solutions Architect is trying to bring a data warehouse workload to an 
Amazon EC2 instance. The data will reside in Amazon EBS volumes and full 
table scans will be executed frequently.What type of Amazon EBS volume would be most suitable in this scenario?",Throughput Optimized HDD (st1),Provisioned IOPS SSD (io1),"General 
Purpose SSD (gp2)", Cold HDD (sc1) , A 
211," A Solutions Architect is concerned that the current security group rules 
for a database tier are too permissive and may permit requests that should 
be restricted.Below are the current security group permissions for the database tier:✑ Protocol: TCP✑ Port Range: 1433 (MS SQL)✑ Source: ALLCurrently, the only identified resource that needs to connect to the 
databases is the application tier consisting of an Auto Scaling group of 
EC2 instances.What changes can be made to this security group that would offer the users 
LEAST privilege?","Change the source to -1 to remove source IP addresses previously 
unseen.",Change the source to the VPC CIDR block.,"Change the source to 
the application instances IDs."," Change the source to the security group 
ID attached to the application instances. ", C 
212," A large media site has multiple applications in Amazon ECS. A Solutions 
Architect needs to use content metadata and route traffic to specific 
services.What is the MOST efficient method to perform this task?","Use an AWS Classic Load Balancer with a host-based routing option to 
route traffic to the correct service.","Use the AWS CLI to update Amazon 
Route 53 hosted zone to route traffic as services get updated.",#VALUE!," Use Amazon CloudFront to manage and 
route traffic to the correct service. ", B 
213," A Solutions Architect must build a secure document """"storage platform that 
allows clients to access data stored on Amazon S3. Documents must be 
readily available for the first 15 days. After that, documents need not be 
readily available, and storage costs should be reduced as much as possible.Which of the following approaches will satisfy these requirements?","Create a lifecycle rule to transition the documents from the STANDARD 
storage class to the STANDARD_IA storage class after 15 days, and then to 
the GLACIER storage class after an additional 15 days.","Create a 
lifecycle rule to transition the documents from the STANDARD storage class 
to the GLACIER storage class after 30 days.","Create a lifecycle rule to 
transition documents from the STANDARD storage class to the STANDARD_IA 
storage class after 30 days and then to the GLACIER storage class after an 
additional 30 days."," Create a lifecycle rule to transition the documents 
from the STANDARD storage class to the GLACIER storage class after 15 days. ", A 
214," A Solutions Architect needs to configure scaling policies based on Amazon 
CloudWatch metrics for an Auto Scaling group. The application running on 
the instances is memory intensive.How can the Architect meet this requirement?",Enable detailed monitoring on the Amazon EC2 instances.,"Publish 
custom metrics to CloudWatch from the application.","Configuration 
lifecycle policies for the Amazon EC2 instances."," Set up high-resolution 
alarms for the Auto Scaling group ", A S
215," A customer has a service based out of Oregon, U.S. and Paris, France. The 
application is storing data in an S3 bucket located in Oregon, and that 
data is updated frequently. The Paris office is experiencing slow response 
times when retrieving objects.What should a Solutions Architect do to resolve the slow response times for 
the Paris office?","Set up an S3 bucket based in Paris, and enable cross-region replication 
from the Oregon bucket to the Paris bucket.","Create an Application Load 
Balancer that load balances data retrieval between the Oregon S3 bucket and 
a new Paris S3 bucket.","Create an Amazon CloudFront distribution with the 
bucket located in Oregon as the origin and set the Maximum Time to Live 
(TTL) for cache behavior to 0."," Set up an S3 bucket based in Paris, and 
enable a lifecycle management rule to transition data from the Oregon 
bucket to the Paris bucket. ", A 
216," A company uses AWS Elastic Beanstalk to deploy a web application running 
on c4.large instances. Users are reporting high latency and failed 
requests. Further investigation reveals that the EC2 instances are running 
at or near 100% CPU utilization.What should a Solutions Architect do to address the performance issues?","Use time-based scaling to scale the number of instances based on 
periods of high load.","Modify the scaling triggers in Elastic Beanstalk 
to use the CPUUtilization metr",#VALUE!," Create an additional Auto Scaling group, and 
configure Amazon EBS to use both Auto Scaling groups to increase the 
scaling capacity. ", D 
217," A Solutions Architect is working on a PCI-compliant architecture that 
needs to call an external service provider's API. The external provider 
requires IP whitelisting to verify the calling party.How should the Solutions Architect provide the external party with the IP 
addresses for whitelisting?","Use an API Gateway in proxy mode, and provide the API Gateway's IP 
address to the external service provider.","Associate a public elastic 
network interface to a published stage/endpoint in API Gateway, exposing 
the AWS Lambda function, and provide the IP address for the public network 
interface to the external party to whitelist.","Deploy the Lambda function 
in private subnets and route outbound traffic through a NAT gateway. 
Provide the NAT gateway's Elastic IP address to the external service 
provider."," Provide the external party the allocated AWS IP address range 
for Lambda functions, and send change notifications by using a subscription 
to the AmazonIpSpaceChanged SNS topic. ", C 
218," A Solutions Architect is designing a shared file system for a company. 
Multiple users will be accessing it at any given time. Different teams will 
have their own directories, and the company wants to secure files so that 
users can access only files owned by their team.How should the Solutions Architect design this?",Use Amazon EFS and control permissions by using file-level permissions. ,Use Amazon S3 and control permissions by using ACLs.,"Use Amazon EFS 
and control permissions by using security groups."," Use AWS Storage 
Gateway and control permissions by using AWS Identity and Access Management 
(IAM) ", A S
219," A company requires operating system permission on a relational database 
server.What should a Solutions Architect suggest as a configuration for a highly 
available database architecture?","Multiple EC2 instances in a database replication configuration that 
uses two Availability Zones.","A standalone Amazon EC2 instance with a 
selected database installed.",#VALUE!," Multiple EC2 instances in a replication configuration 
that uses two placement groups. ", A 
220," A Solutions Architect must design an Amazon DynamoDB table to store data 
about customer activities. The data is used to analyze recent customer 
behavior, so data that is less than a week old is heavily accessed and 
older data is accessed infrequently. Data that is more than one month old 
never needs to be referenced by the application, but needs to be archived 
for year-end analytics.What is the MOST cost-efficient way to meet these requirements? (Choose 
two.)","Use DynamoDB time-to-live settings to expire items after a certain time 
period.","Provision a higher write capacity unit to minimize the number of 
partitions.",#VALUE!," Pre-process data to consolidate 
multiple records to minimize write operations. E. Export the old table data 
from DynamoDB to Amazon S3 using AWS Data Pipeline, and delete the old 
table. ", BC 
221," An application uses an Amazon SQS queue as a transport mechanism to 
deliver data to a group of EC2 instances for processing. The application 
owner wants to add a mechanism to archive the incoming data without 
modifying application code on the EC2 instances.How can this application be re-architected to archive the data without 
modifying the processing instances?","Trigger a Lambda function by using Amazon CloudWatch Events to retrieve 
messages from the SQS queue and archive to Amazon S3.","Use an Amazon SNS 
topic to fan out the data to the SQS queue in addition to a Lambda function 
that records the data to an S3 bucket.","Set up an Amazon Kinesis Data 
Stream so that multiple instances can receive data. Add a separate EC2 
instance that is configured to archive all data it receives."," Write the 
data to an S3 bucket, and use an SQS queue for S3 event notifications to 
tell the instances where to retrieve the data. ", B 
222," A Solutions Architect must select the most cost-efficient architecture for 
a service that responds to web requests. These web requests are small and 
query aDynamoDB table. The request rate ranges from zero to several hundred each 
second, without any predictable patterns.What is the MOST cost-efficient architecture for this service?",Network Load Balancer/Amazon EC2,"Application Load Balancer/Amazon 
ECS",API Gateway/AWS Lambda, AWS Elastic Beanstalk/AWS Lambda , A 
223," A company has a web application running in a Docker container that 
connects to a MySQL server in an on-premises data center. The deployment 
and maintenance of this application are becoming time-consuming and slowing 
down new feature releases. The company wants to migrate the application to 
AWS and use services that helps facilitate infrastructure management and 
deployment.Which architectures should the company consider on AWS? (Choose two.)","Amazon ECS for the web application, and an Amazon RDS for MySQL for the 
database.","AWS Elastic Beanstalk Docker Multi-container either for the 
web application or database.","AWS Elastic Beanstalk Docker Single 
Container for the web application, and an Amazon RDS for MySQL for the 
database."," AWS CloudFormation with Lambda Custom Resources without VPC 
for the web application, and an Amazon RDS for MySQL database. E. AWS 
CloudFormation with Lambda Custom Resources running in a VPC for the web 
application, and an Amazon RDS for MySQL database. ", CE 
